iter	Logloss
0	0.6457661743
1	0.6039445699
2	0.5833187917
3	0.5678931478
4	0.5518501333
5	0.5387987569
6	0.5269943797
7	0.5213426565
8	0.5153560588
9	0.510745163
10	0.5062140198
11	0.503015564
12	0.4953847504
13	0.4924511668
14	0.4892433268
15	0.4868411001
16	0.4847995199
17	0.4817561035
18	0.4801659953
19	0.4782486318
20	0.4768491007
21	0.475285141
22	0.4738716939
23	0.4721828512
24	0.4710929871
25	0.4701730906
26	0.4683084056
27	0.4672433065
28	0.4659869639
29	0.4653326874
30	0.4638654887
31	0.463155014
32	0.462350174
33	0.4615124207
34	0.4603163401
35	0.4595127818
36	0.4582168223
37	0.4575946452
38	0.4569862569
39	0.4564923808
40	0.4559646352
41	0.455404246
42	0.4549935252
43	0.454616567
44	0.4539666443
45	0.4533499552
46	0.4528612722
47	0.452213033
48	0.451837031
49	0.4513451843
50	0.4508755341
51	0.4499879761
52	0.4496474559
53	0.4492999318
54	0.4485764618
55	0.4480144653
56	0.4474823761
57	0.4466587118
58	0.4462813365
59	0.4456562602
60	0.4452575277
61	0.4447388102
62	0.4440306498
63	0.4436138102
64	0.4431332601
65	0.4429032084
66	0.4418557434
67	0.4415518799
68	0.4412449036
69	0.4403745117
70	0.4400628611
71	0.4395843557
72	0.439225647
73	0.4388079885
74	0.4384064738
75	0.4381127574
76	0.4372138774
77	0.4368312327
78	0.4363579254
79	0.4360075175
80	0.4357013295
81	0.43532901
82	0.4349055125
83	0.4344166768
84	0.4341049398
85	0.4337639262
86	0.4334113617
87	0.4331175842
88	0.4327311045
89	0.4324149424
90	0.4321174927
91	0.4318243103
92	0.4311513316
93	0.430848882
94	0.4298927307
95	0.4296257273
96	0.4289039917
97	0.428478124
98	0.4280430501
99	0.4275538228
