iter	Passed	Remaining
0	340	33744
1	470	23030
2	566	18305
3	674	16180
4	795	15116
5	903	14152
6	983	13070
7	1064	12240
8	1141	11540
9	1224	11016
10	1344	10881
11	1475	10823
12	1573	10530
13	1708	10495
14	1791	10150
15	1875	9846
16	1963	9585
17	2030	9251
18	2126	9067
19	2211	8844
20	2299	8652
21	2411	8548
22	2491	8340
23	2560	8109
24	2643	7929
25	2730	7770
26	2808	7593
27	2878	7401
28	2972	7277
29	3047	7110
30	3161	7037
31	3265	6938
32	3362	6826
33	3452	6702
34	3528	6552
35	3600	6401
36	3685	6276
37	3789	6182
38	3911	6118
39	4018	6027
40	4110	5915
41	4176	5768
42	4250	5634
43	4333	5514
44	4402	5380
45	4478	5257
46	4570	5153
47	4646	5033
48	4717	4910
49	4813	4813
50	4880	4689
51	4949	4569
52	5015	4447
53	5090	4336
54	5159	4221
55	5229	4108
56	5309	4005
57	5389	3902
58	5460	3794
59	5529	3686
60	5596	3577
61	5662	3470
62	5736	3369
63	5805	3265
64	5887	3169
65	5966	3073
66	6031	2970
67	6099	2870
68	6168	2771
69	6243	2675
70	6326	2583
71	6403	2490
72	6484	2398
73	6553	2302
74	6629	2209
75	6700	2115
76	6790	2028
77	6865	1936
78	6935	1843
79	7006	1751
80	7101	1665
81	7181	1576
82	7266	1488
83	7340	1398
84	7414	1308
85	7500	1220
86	7586	1133
87	7659	1044
88	7727	955
89	7806	867
90	7879	779
91	7944	690
92	8023	603
93	8111	517
94	8177	430
95	8245	343
96	8317	257
97	8396	171
98	8491	85
99	8577	0
